Transacted Price,Area sqm,PropertyAge,Prior Transacted Price,No of years owned,GroundFloor,LowFloor,HighFloor,Penthouse,NewPurchaser,HDBPurchaser,PrivatePurchaser,WestRegion,NorthRegion,NorthEastRegion,East Region,CentralRegion,mrt_dist_meter,sch_dist_meter
635000,121,10.8,614300,10.4,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
945000,122,13.6,623700,13.1,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
582000,120,11,551760,9.3,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
925000,120,20.3,582000,9.3,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
665000,116,11.7,585200,11.2,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
843000,116,13,665000,1.3,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
662000,116,10.1,585200,9.6,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
930000,116,20.3,662000,10.2,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
442000,120,9.1,568260,7.4,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
940000,121,16.2,554752,14.6,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
928000,122,13.9,612300,12.5,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
505000,121,9.4,618800,8.9,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
945000,122,14,628200,13.5,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
860000,122,12.7,616800,11.2,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
960000,122,17.1,579416,15.4,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
640000,117,10.5,568300,9.9,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
993000,127,14.4,659800,13.9,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
470000,116,8.8,589700,8.3,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
950000,116,14.6,470000,5.9,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
820000,117,13,531520,11.3,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
930000,122,20.1,616800,18.7,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
945000,122,21.8,930000,1.7,0,0,1,0,1,0,0,0,0,1,0,0,735.3040566,552.1320762
670000,121,10.4,623300,9.9,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
545000,122,9.5,632700,8.9,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
995000,122,16.5,545000,7.1,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
588000,122,9.8,584016,8.2,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
880000,117,14.3,430000,6.5,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
620000,120,10.7,602912,8.9,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
848000,121,13.2,563552,11.5,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
838000,122,12.4,621300,10.9,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
1010000,122,16.6,838000,4.2,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
980000,121,16.3,618200,15.9,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
980000,122,16,611600,14.6,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
930000,120,17.6,564960,15.9,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
1020000,127,16.2,668800,15.7,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
950000,116,14.6,598700,14.1,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
960000,116,21.5,950000,6.9,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
980000,127,14.4,668800,13.9,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
950000,117,14.6,577300,14.1,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
930000,120,17.8,594688,16.1,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
995000,122,16.7,625800,15.6,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
986000,122,21.7,641700,21.1,0,0,1,0,1,0,0,0,0,1,0,0,735.3040566,552.1320762
850000,122,13,593216,11.2,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
968000,122,17.5,850000,4.6,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
1090000,116,15.6,603200,15.1,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
488000,121,8.6,636800,8.1,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
820000,121,12.5,488000,3.8,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
481800,122,8,644700,7.5,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
975000,121,20.7,607522,18.9,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
950000,120,14.7,715000,2.5,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
975000,117,16.2,587782,14.5,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
888000,120,13.3,602416,11.6,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
818000,121,12.9,575344,11.2,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
890000,121,18.7,818000,5.8,0,0,1,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
980000,122,13.8,633300,12.3,0,0,1,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
